,date,Bitcoin_close,gold,dollar_index,CPI,PPI,UNRATE,FEDFUNDS,Oil,Bond2yr,Bond10yr,Phila,M1,NASDAQ,S&P 500,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate,AMD,NVIDIA
23,2016-09-01,572.302979,"1,315.80",104.7519,1.54864,186.9,5.0,0.4,47.72,0.77,1.6304761904761904,835.6,3381.6,5227.2,2170.9,504.1,305.4,506.6,639.8,556.6,837.6,329.0,785.6,172.7,247.5,204.4,7.4,15.8
24,2016-10-01,613.982971,"1,277.28",105.8193,1.68592,186.7,4.9,0.4,46.83,0.86,1.7645,823.5,3482.8,5312.0,2168.3,520.4,299.9,504.9,636.0,546.5,833.8,320.8,801.7,170.6,248.8,200.8,6.9,17.1
25,2016-11-01,729.79303,"1,172.70",108.2387,1.68433,186.3,4.7,0.41,49.41,1.11,2.142,879.5,3463.6,5153.6,2111.7,505.4,291.9,490.4,615.3,538.7,775.0,326.5,794.1,156.2,246.4,185.7,7.1,17.3
26,2016-12-01,756.773987,"1,151.46",109.9566,2.0508,188.2,4.7,0.54,53.75,1.2,2.4919047619047614,906.5,3519.3,5251.1,2191.1,546.1,312.5,540.5,649.1,513.3,786.1,378.7,777.7,163.9,233.7,180.4,8.4,21.9
27,2017-01-01,998.325012,"1,210.51",109.741,2.51039,190.7,4.7,0.65,52.75,1.19,2.4325,944.3,3517.9,5383.1,2238.8,554.5,312.2,538.1,647.8,531.8,796.9,386.5,807.9,176.6,246.8,190.2,11.3,26.7
28,2017-02-01,989.02301,"1,248.52",108.3447,2.81036,191.6,4.6,0.66,54.0,1.22,2.418947368421053,969.4,3495.8,5642.7,2279.6,530.3,328.3,544.7,673.7,536.4,819.9,387.1,849.4,169.2,245.5,187.8,12.1,28.5
29,2017-03-01,1222.5,"1,248.63",107.643,2.4412,191.5,4.4,0.79,50.54,1.27,2.4817391304347822,"1,011.4",3594.6,5904.0,2396.0,530.4,334.1,573.3,694.1,567.9,873.6,417.9,897.1,170.5,259.0,197.8,15.0,25.7
30,2017-04-01,1080.5,"1,267.65",106.6414,2.17622,193.0,4.4,0.9,49.31,1.28,2.297368421052632,"1,005.5",3518.4,5911.7,2362.7,514.0,328.7,559.6,700.2,561.8,859.8,394.6,906.2,167.7,260.2,195.4,14.6,27.2
31,2017-05-01,1421.599976,"1,268.09",106.0076,1.85634,192.8,4.4,0.91,48.29,1.28,2.303636363636364,"1,091.4",3667.7,6091.6,2388.3,497.8,332.8,567.3,717.2,563.7,873.6,392.8,936.2,159.1,260.5,196.6,13.6,26.7
32,2017-06-01,2407.879883,"1,241.20",104.5973,1.64057,193.6,4.3,1.04,46.02,1.38,2.1868181818181816,"1,034.9",3649.9,6246.8,2430.1,482.4,335.9,579.9,730.0,585.8,887.9,389.9,969.6,159.7,273.6,197.0,10.9,36.1
33,2017-07-01,2434.550049,"1,269.05",102.8722,1.72511,193.5,4.3,1.15,50.21,1.34,2.318,"1,085.2",3726.0,6140.4,2423.4,477.9,337.4,582.9,714.1,566.8,916.9,409.6,940.3,154.0,263.8,199.0,12.5,36.1
34,2017-08-01,2718.26001,"1,321.60",101.9149,1.92812,193.8,4.4,1.16,47.26,1.33,2.2091304347826086,"1,114.3",3729.4,6362.9,2476.4,489.9,342.6,581.7,728.2,568.5,921.1,419.5,985.6,162.3,271.4,202.0,13.7,41.1
35,2017-09-01,4892.009766,"1,279.10",101.2806,2.18057,194.8,4.3,1.15,51.67,1.47,2.202,"1,171.7",3599.2,6435.3,2476.6,465.4,346.9,582.9,715.4,564.1,937.5,410.2,1011.7,156.9,276.4,202.8,13.2,42.6
36,2017-10-01,4403.740234,"1,271.20",103.082,2.02076,194.9,4.2,1.15,54.36,1.6,2.36,"1,275.6",3765.2,6496.0,2519.4,506.7,356.2,604.4,717.5,555.4,946.3,429.1,1018.2,162.4,269.0,199.2,12.8,44.7
37,2017-11-01,6767.310059,"1,274.36",103.2524,2.17249,195.9,4.2,1.16,57.4,1.78,2.353333333333333,"1,272.5",3732.3,6716.5,2579.4,508.5,371.9,604.9,732.5,548.1,940.2,442.2,1097.1,147.6,277.8,200.4,10.8,51.8
38,2017-12-01,10975.599609,"1,302.45",102.9402,2.12993,196.3,4.1,1.3,60.46,1.89,2.4025,"1,253.0",3746.1,6847.6,2642.2,513.3,369.3,619.4,767.9,577.5,961.9,456.6,1100.2,157.7,284.5,206.3,10.7,49.4
39,2018-01-01,13657.200195,"1,344.70",100.7851,2.15132,197.9,4.0,1.41,64.82,2.14,2.583809523809524,"1,361.5",3754.9,6903.4,2673.6,533.4,378.9,637.8,785.3,587.4,956.3,463.9,1106.2,166.1,267.4,203.9,10.3,48.4
40,2018-02-01,9170.540039,"1,317.66",100.2085,2.26347,199.3,4.1,1.42,61.43,2.25,2.858947368421053,"1,362.0",3676.0,7385.9,2822.0,559.5,389.1,670.1,848.6,592.9,1019.4,498.4,1189.5,169.1,255.0,196.2,13.3,60.1
